Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mag:279322
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:49:16Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
British Journal of Community Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjcn	mag:bjcn	1462-4753	2052-2215		No_License	2	2	0
British Journal of Healthcare Assistants	Mark Allen Group		MA Healthcare Ltd	10.12968/bjha	mag:bjha	1753-1586	2052-4420		No_License	1	1	0
British Journal of Midwifery	Mark Allen Group		MA Healthcare Ltd	10.12968/bjom	mag:bjom	0969-4900	2052-4307		No_License	1	1	0
British Journal of Nursing	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon	mag:bjon	0966-0461	2052-2819		No_License	5	5	0
Companion Animal	Mark Allen Group		MA Healthcare Ltd	10.12968/coan	mag:coan	2053-0889	2053-0897		No_License	5	5	0
UK-Vet Equine	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve	mag:ukve	2516-0583	2516-0591		No_License	1	1	0
