Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	
Institution_ID	AMS:UPEIS*CHA
Metric_Types	No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Data_Type=Journal
Report_Attributes	
Exceptions	
Reporting_Period	
Created	2024-03-05T10:44:26-05:00
Created_By	American Mathematical Society

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
