Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	arrs:638004
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-05T07:47:21Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Abdominal Lymphangiomas: Imaging Features with Pathologic Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Angela D. Levy, Markku Miettinen, Vito Cantisani; 	2012-11-23	VoR	10.2214/ajr.182.6.1821485						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2004	Controlled	Regular	Unique_Item_Investigations	1	0	1
Abdominal Lymphangiomas: Imaging Features with Pathologic Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Angela D. Levy, Markku Miettinen, Vito Cantisani; 	2012-11-23	VoR	10.2214/ajr.182.6.1821485						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2004	Controlled	Regular	Total_Item_Requests	2	0	2
Abdominal Lymphangiomas: Imaging Features with Pathologic Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Angela D. Levy, Markku Miettinen, Vito Cantisani; 	2012-11-23	VoR	10.2214/ajr.182.6.1821485						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2004	Controlled	Regular	Total_Item_Investigations	2	0	2
Abdominal Lymphangiomas: Imaging Features with Pathologic Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Angela D. Levy, Markku Miettinen, Vito Cantisani; 	2012-11-23	VoR	10.2214/ajr.182.6.1821485						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2004	Controlled	Regular	Unique_Item_Requests	1	0	1
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2015	Controlled	Regular	Total_Item_Requests	1	1	0
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2015	Controlled	Regular	Total_Item_Investigations	1	1	0
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2015	Controlled	Regular	Unique_Item_Requests	1	1	0
Diagnostic significance of interslice gap and imaging volume in body MR imaging	American Roentgen Ray Society		American Roentgen Ray Society	BW Schwaighofer, KK Yu, RF Mattrey; 	2012-11-23	VoR	10.2214/ajr.153.3.629						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	1989	Controlled	Regular	Unique_Item_Investigations	1	1	0
Diagnostic significance of interslice gap and imaging volume in body MR imaging	American Roentgen Ray Society		American Roentgen Ray Society	BW Schwaighofer, KK Yu, RF Mattrey; 	2012-11-23	VoR	10.2214/ajr.153.3.629						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	1989	Controlled	Regular	Total_Item_Investigations	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2005	Controlled	Regular	Unique_Item_Investigations	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2005	Controlled	Regular	Total_Item_Requests	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2005	Controlled	Regular	Total_Item_Investigations	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2005	Controlled	Regular	Unique_Item_Requests	1	1	0
What the Radiologist Needs to Know About Urolithiasis: Part 1???Pathogenesis, Types, Assessment, and Variant Anatomy	American Roentgen Ray Society		American Roentgen Ray Society	Matthew D. Dunn, Paymann Moin, Phillip M. Cheng, Vinay A. Duddalwar, William D. Boswell; 	2012-11-23	VoR	10.2214/AJR.10.7285						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2012	Controlled	Regular	Unique_Item_Investigations	1	0	1
What the Radiologist Needs to Know About Urolithiasis: Part 1???Pathogenesis, Types, Assessment, and Variant Anatomy	American Roentgen Ray Society		American Roentgen Ray Society	Matthew D. Dunn, Paymann Moin, Phillip M. Cheng, Vinay A. Duddalwar, William D. Boswell; 	2012-11-23	VoR	10.2214/AJR.10.7285						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2012	Controlled	Regular	Total_Item_Requests	1	0	1
What the Radiologist Needs to Know About Urolithiasis: Part 1???Pathogenesis, Types, Assessment, and Variant Anatomy	American Roentgen Ray Society		American Roentgen Ray Society	Matthew D. Dunn, Paymann Moin, Phillip M. Cheng, Vinay A. Duddalwar, William D. Boswell; 	2012-11-23	VoR	10.2214/AJR.10.7285						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2012	Controlled	Regular	Total_Item_Investigations	1	0	1
What the Radiologist Needs to Know About Urolithiasis: Part 1???Pathogenesis, Types, Assessment, and Variant Anatomy	American Roentgen Ray Society		American Roentgen Ray Society	Matthew D. Dunn, Paymann Moin, Phillip M. Cheng, Vinay A. Duddalwar, William D. Boswell; 	2012-11-23	VoR	10.2214/AJR.10.7285						American Journal of Roentgenology				Journal	10.2214/ajr	arrs:ajr		0361-803X	1546-3141												Article	2012	Controlled	Regular	Unique_Item_Requests	1	0	1
