Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mbs:sgid023870
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Article|Book|Book_Segment|Journal|Platform
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates(Search Usage is available up to 2024-01-31.Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:50:36Z
Created_By	Microbiology Society

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
mbs	Article	Regular	Total_Item_Investigations	21	21	0
mbs	Article	Regular	Total_Item_Requests	12	12	0
mbs	Article	Regular	Unique_Item_Investigations	19	19	0
mbs	Article	Regular	Unique_Item_Requests	9	9	0
