Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	canadianelectroniclibrary:2552
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Nov 2023 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:40:26+00:00
Created_By	LibLynx LLC for Canadian Electronic Library

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
