Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island - Students
Institution_ID	Silverchair:134573
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
1.1. Introduction	Wolters Kluwer		Wolters Kluwer		Silverchair:6091076					Unique_Item_Investigations	1	1	0
1.1. Introduction	Wolters Kluwer		Wolters Kluwer		Silverchair:6091076					Unique_Item_Requests	1	1	0
2.13. Musculoskeletal System	Wolters Kluwer		Wolters Kluwer		Silverchair:6091138					Unique_Item_Requests	1	1	0
2.13. Musculoskeletal System	Wolters Kluwer		Wolters Kluwer		Silverchair:6091138					Unique_Item_Investigations	1	1	0
Entire Volume - Nervous System: Cranial Nerves and Motor System	Wolters Kluwer		Wolters Kluwer		Silverchair:6091072					Unique_Item_Investigations	1	1	0
Entire Volume - Nervous System: Cranial Nerves and Motor System	Wolters Kluwer		Wolters Kluwer		Silverchair:6091072					Unique_Item_Requests	1	1	0
Entire Volume - Skin	Wolters Kluwer		Wolters Kluwer		Silverchair:6091054					Unique_Item_Investigations	1	1	0
Entire Volume - Skin	Wolters Kluwer		Wolters Kluwer		Silverchair:6091054					Unique_Item_Requests	1	1	0
OSCE 11: Shoulder Pain	Wolters Kluwer		Wolters Kluwer		Silverchair:14727418					Unique_Item_Investigations	1	1	0
OSCE 1: Chest Pain	Wolters Kluwer		Wolters Kluwer		Silverchair:6017060					Unique_Item_Investigations	8	8	0
OSCE 2: Abdominal Pain	Wolters Kluwer		Wolters Kluwer		Silverchair:6130472					Unique_Item_Investigations	3	3	0
OSCE 3: Sore Throat	Wolters Kluwer		Wolters Kluwer		Silverchair:6130474					Unique_Item_Investigations	2	2	0
