Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	University of Prince Edward Island - Students
Institution_ID	Silverchair:134573
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular; Access_Type=Controlled; Data_Type=Book
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (); 3030: No Usage Available for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
