Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island - Students
Institution_ID	Silverchair:134573
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Wolters Kluwer	Total_Item_Investigations	25	25	0
Wolters Kluwer	Total_Item_Requests	4	4	0
Wolters Kluwer	Unique_Item_Investigations	18	18	0
Wolters Kluwer	Unique_Item_Requests	4	4	0
