Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:07:26Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Journal of Communication	University of Toronto Press		University of Toronto Press	10.3138/cjc	utoronto:cjc	0705-3657	1499-6642		No_License	1	1	0
The Canadian Journal of Human Sexuality	University of Toronto Press		University of Toronto Press	10.3138/cjhs	utoronto:cjhs	1188-4517	2291-7063		No_License	10	10	0
Urban History Review	University of Toronto Press		University of Toronto Press	10.3138/uhr	utoronto:uhr	0703-0428	1918-5138		No_License	1	1	0
