Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-29T10:45:00Z
Created_By	collections@upei.ca

Platform	Metric_Type	Reporting_Period_Total	Jan-2024
video.alexanderstreet.com	Searches_Platform	337	337
video.alexanderstreet.com	Total_Item_Requests	249	249
video.alexanderstreet.com	Unique_Item_Requests	219	219
