Report_Name	Database Access Denied
Report_ID	DR_D2
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3030: No usage available for requested dates (Service did not find any data for the date range specified)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:18Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
