Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:41:51Z
Created_By	EBSCO Information Services

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
EBSCOhost	Searches_Platform	28197	28197	0
EBSCOhost	Total_Item_Requests	5801	5801	0
EBSCOhost	Unique_Item_Requests	4286	4286	0
EBSCOhost	Unique_Title_Requests	1186	1186	0
