Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ieee:4172671
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:45:28Z
Created_By	MPS Limited

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Comprehensive Resilience-Oriented FLISR Method for Distribution Systems	IEEE		IEEE Xplore	-; 	0031-06-12		10.1109/TSG.2020.3047477		1949-3053		http://ieeexplore.ieee.org/document/9309098				10.1109/TSG.5165411		1949-3053			Controlled	Total_Item_Requests	2	2	0
A Comprehensive Resilience-Oriented FLISR Method for Distribution Systems	IEEE		IEEE Xplore	-; 	0031-06-12		10.1109/TSG.2020.3047477		1949-3053		http://ieeexplore.ieee.org/document/9309098				10.1109/TSG.5165411		1949-3053			Controlled	Unique_Item_Requests	1	1	0
A Comprehensive Survey on Graph Neural Networks	IEEE		IEEE Xplore	-; 	0029-09-10		10.1109/TNNLS.2020.2978386		2162-237X		http://ieeexplore.ieee.org/document/9046288				10.1109/TNNLS.5962385		2162-237X			Controlled	Total_Item_Requests	2	2	0
A Comprehensive Survey on Graph Neural Networks	IEEE		IEEE Xplore	-; 	0029-09-10		10.1109/TNNLS.2020.2978386		2162-237X		http://ieeexplore.ieee.org/document/9046288				10.1109/TNNLS.5962385		2162-237X			Controlled	Unique_Item_Requests	2	2	0
A fast and reliable technique for muscle activity detection from surface EMG signals	IEEE		IEEE Xplore	-; 	0025-08-24		10.1109/TBME.2003.808829		0018-9294		http://ieeexplore.ieee.org/document/1186735				10.1109/TBME.10		0018-9294			Controlled	Total_Item_Requests	1	1	0
A fast and reliable technique for muscle activity detection from surface EMG signals	IEEE		IEEE Xplore	-; 	0025-08-24		10.1109/TBME.2003.808829		0018-9294		http://ieeexplore.ieee.org/document/1186735				10.1109/TBME.10		0018-9294			Controlled	Unique_Item_Requests	1	1	0
A Multiscale Computational Model of Skeletal Muscle Electroporation Validated Using In Situ Porcine Experiments	IEEE		IEEE Xplore	-; 	0008-08-15		10.1109/TBME.2022.3229560		0018-9294		http://ieeexplore.ieee.org/document/10036077				10.1109/TBME.10		0018-9294			OA_Gold	Total_Item_Requests	1	1	0
A Multiscale Computational Model of Skeletal Muscle Electroporation Validated Using In Situ Porcine Experiments	IEEE		IEEE Xplore	-; 	0008-08-15		10.1109/TBME.2022.3229560		0018-9294		http://ieeexplore.ieee.org/document/10036077				10.1109/TBME.10		0018-9294			OA_Gold	Unique_Item_Requests	1	1	0
A Novel Indicator for Mechanical Failure and Life Prediction Based on Debris Monitoring	IEEE		IEEE Xplore	-; 	0027-06-08		10.1109/TR.2016.2628412		0018-9529		http://ieeexplore.ieee.org/document/7792701				10.1109/TR.24		0018-9529			Controlled	Total_Item_Requests	1	1	0
A Novel Indicator for Mechanical Failure and Life Prediction Based on Debris Monitoring	IEEE		IEEE Xplore	-; 	0027-06-08		10.1109/TR.2016.2628412		0018-9529		http://ieeexplore.ieee.org/document/7792701				10.1109/TR.24		0018-9529			Controlled	Unique_Item_Requests	1	1	0
