Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3030: No usage available for requested dates (No usage was found for date range)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:39:47+00:00
Created_By	LibLynx LLC for Coherent Digital

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
