Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(Request Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:37Z
Created_By	ingentaconnect

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Habitat segregation and population structure of Caribbean sea anemones and associated crustaceans on coral reefs at Akumal Bay, Mexico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect	Colombara; Alexandra M and Quinn; David and Chadwick; Nanette E; 		VoR	10.5343/bms.2017.1020		0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/2017/00000093/00000004/art00011	Bulletin of Marine Science		VoR			0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Controlled	Total_Item_Requests	1	1	0
Habitat segregation and population structure of Caribbean sea anemones and associated crustaceans on coral reefs at Akumal Bay, Mexico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect	Colombara; Alexandra M and Quinn; David and Chadwick; Nanette E; 		VoR	10.5343/bms.2017.1020		0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/2017/00000093/00000004/art00011	Bulletin of Marine Science		VoR			0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Controlled	Unique_Item_Requests	1	1	0
Oral Gavage in Rats: Animal Welfare Evaluation	American Association for Laboratory Animal Science		connect	Turner; Patricia V and Vaughn; Elizabeth and Sunohara-Neilson; Janet and Ovari; Jelena and Leri; Francesco; 		VoR			1559-6109		https://www.ingentaconnect.com/content/aalas/jaalas/2012/00000051/00000001/art00004	Journal of the American Association for Laboratory Animal Science		VoR			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas	OA_Gold	Total_Item_Requests	1	1	0
Oral Gavage in Rats: Animal Welfare Evaluation	American Association for Laboratory Animal Science		connect	Turner; Patricia V and Vaughn; Elizabeth and Sunohara-Neilson; Janet and Ovari; Jelena and Leri; Francesco; 		VoR			1559-6109		https://www.ingentaconnect.com/content/aalas/jaalas/2012/00000051/00000001/art00004	Journal of the American Association for Laboratory Animal Science		VoR			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas	OA_Gold	Unique_Item_Requests	1	1	0
