Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	UNIV OF P E I
Institution_ID	slack:UNIV OF P E I
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-03-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:45:05Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Journal of Psychosocial Nursing and Mental Health Services	SLACK Incorporated		slack	10.3928/JPN	slack:jpn	0279-3695	1938-2413		No_License	2	2	0
Psychiatric Annals	SLACK Incorporated		slack	10.3928/PSYCH	slack:psych	0048-5713	1938-2456		No_License	3	3	0
The Journal of Continuing Education in Nursing	SLACK Incorporated		slack	10.3928/JCEN	slack:jcen	0022-0124			No_License	1	1	0
