Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	
Institution_ID	AMS:UPEIS*CHA
Metric_Types	Limit_Exceeded; No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	
Reporting_Period	
Created	2024-03-02T04:51:58-05:00
Created_By	American Mathematical Society

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
