Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	3030: No Usage Available for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-23T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024
