Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	physio:00015659
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Parent_Data_Type=Journal; Data_Type=Article; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:47:24Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A checklist to help students analyze published articles in basic medical sciences.	American Physiological Society		The American Physiological Society	P K Rangachari, S Mierson; 	1995-06-01	VoR	10.1152/advances.1995.268.6.S21					Advances in Physiology Education			10.1152/advan	physio:advances	1043-4046	1522-1229		Controlled	Unique_Item_Requests	1	0	1
A checklist to help students analyze published articles in basic medical sciences.	American Physiological Society		The American Physiological Society	P K Rangachari, S Mierson; 	1995-06-01	VoR	10.1152/advances.1995.268.6.S21					Advances in Physiology Education			10.1152/advan	physio:advances	1043-4046	1522-1229		Controlled	Total_Item_Requests	1	0	1
Activation among the elbow flexor muscles differs when maintaining arm position during a fatiguing contraction	American Physiological Society		The American Physiological Society	Carol J. MacGillis, Roger M. Enoka, Romuald Lepers, Sandra K. Hunter; 	2003-06-01	VoR	10.1152/japplphysiol.01038.2002					Journal of Applied Physiology			10.1152/japplphysiol	physio:jappl	8750-7587	1522-1601		Controlled	Unique_Item_Requests	2	0	2
Activation among the elbow flexor muscles differs when maintaining arm position during a fatiguing contraction	American Physiological Society		The American Physiological Society	Carol J. MacGillis, Roger M. Enoka, Romuald Lepers, Sandra K. Hunter; 	2003-06-01	VoR	10.1152/japplphysiol.01038.2002					Journal of Applied Physiology			10.1152/japplphysiol	physio:jappl	8750-7587	1522-1601		Controlled	Total_Item_Requests	2	0	2
Activation of dopamine D2 receptor promotes pepsinogen secretion by suppressing somatostatin release from the mouse gastric mucosa	American Physiological Society		The American Physiological Society	Guang-Wen Li, Jin-Xia Zhu, Li-Fei Zheng, Qi Sun, Qian-Ying Shen, Xiao-Yan Feng, Xiao-Yu Liu, Yan-Yan Fan, Yao Qi, Yue Zhang; 	2022-02-16	VoR	10.1152/ajpcell.00385.2021					American Journal of Physiology-Cell Physiology			10.1152/ajpcell	physio:ajpcell	0363-6143	1522-1563		Controlled	Unique_Item_Requests	1	0	1
Activation of dopamine D2 receptor promotes pepsinogen secretion by suppressing somatostatin release from the mouse gastric mucosa	American Physiological Society		The American Physiological Society	Guang-Wen Li, Jin-Xia Zhu, Li-Fei Zheng, Qi Sun, Qian-Ying Shen, Xiao-Yan Feng, Xiao-Yu Liu, Yan-Yan Fan, Yao Qi, Yue Zhang; 	2022-02-16	VoR	10.1152/ajpcell.00385.2021					American Journal of Physiology-Cell Physiology			10.1152/ajpcell	physio:ajpcell	0363-6143	1522-1563		Controlled	Total_Item_Requests	1	0	1
Alterations to mitochondrial fatty-acid use in skeletal muscle after chronic exposure to hypoxia depend on metabolic phenotype	American Physiological Society		The American Physiological Society	Alexandra Malgoyre, Clovis Chabert, Hervé Sanchez, Julia Tonini, Nathalie Koulmann, Xavier Bigard; 	2017-03-06	VoR	10.1152/japplphysiol.00090.2016					Journal of Applied Physiology			10.1152/japplphysiol	physio:jappl	8750-7587	1522-1601		Controlled	Unique_Item_Requests	2	0	2
Alterations to mitochondrial fatty-acid use in skeletal muscle after chronic exposure to hypoxia depend on metabolic phenotype	American Physiological Society		The American Physiological Society	Alexandra Malgoyre, Clovis Chabert, Hervé Sanchez, Julia Tonini, Nathalie Koulmann, Xavier Bigard; 	2017-03-06	VoR	10.1152/japplphysiol.00090.2016					Journal of Applied Physiology			10.1152/japplphysiol	physio:jappl	8750-7587	1522-1601		Controlled	Total_Item_Requests	4	0	4
An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss)	American Physiological Society		The American Physiological Society	Daniel Garcia-Serrana, Iban Seiliez, Jean-Charles Gabillard, Joaquim Gutiérrez, Sadasivam Kaushik, Sandrine Skiba-Cassy, Sophie Tesseraud, Stephane Panserat; 	2008-07-01	VoR	10.1152/ajpregu.00146.2008					American Journal of Physiology-Regulatory, Integrative and Comparative Physiology			10.1152/ajpregu	physio:ajpregu	0363-6119	1522-1490		Controlled	Unique_Item_Requests	1	1	0
An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss)	American Physiological Society		The American Physiological Society	Daniel Garcia-Serrana, Iban Seiliez, Jean-Charles Gabillard, Joaquim Gutiérrez, Sadasivam Kaushik, Sandrine Skiba-Cassy, Sophie Tesseraud, Stephane Panserat; 	2008-07-01	VoR	10.1152/ajpregu.00146.2008					American Journal of Physiology-Regulatory, Integrative and Comparative Physiology			10.1152/ajpregu	physio:ajpregu	0363-6119	1522-1490		Controlled	Total_Item_Requests	2	2	0
Attention span during lectures: 8 seconds, 10 minutes, or more?	American Physiological Society		The American Physiological Society	Neil A. Bradbury; 	2016-11-08	VoR	10.1152/advan.00109.2016					Advances in Physiology Education			10.1152/advan	physio:advances	1043-4046	1522-1229		Controlled	Unique_Item_Requests	1	0	1
Attention span during lectures: 8 seconds, 10 minutes, or more?	American Physiological Society		The American Physiological Society	Neil A. Bradbury; 	2016-11-08	VoR	10.1152/advan.00109.2016					Advances in Physiology Education			10.1152/advan	physio:advances	1043-4046	1522-1229		Controlled	Total_Item_Requests	1	0	1
Avian renal portal valve: a reexamination of its innervation	American Physiological Society		The American Physiological Society	E. J. Braun, M. E. Burrows, S. P. Duckles; 	1983-10-01	VoR	10.1152/ajpheart.1983.245.4.H628					American Journal of Physiology-Heart and Circulatory Physiology			10.1152/ajpheart	physio:ajpheart	0363-6135	1522-1539		Controlled	Unique_Item_Requests	1	1	0
Avian renal portal valve: a reexamination of its innervation	American Physiological Society		The American Physiological Society	E. J. Braun, M. E. Burrows, S. P. Duckles; 	1983-10-01	VoR	10.1152/ajpheart.1983.245.4.H628					American Journal of Physiology-Heart and Circulatory Physiology			10.1152/ajpheart	physio:ajpheart	0363-6135	1522-1539		Controlled	Total_Item_Requests	2	2	0
Carbohydrate feedings and exercise performance: effect of initial muscle glycogen concentration	American Physiological Society		The American Physiological Society	D. L. Costill, G. K. McConell, H. Tanaka, J. J. Widrick, M. S. Hickey, W. J. Fink; 	1993-06-01	VoR	10.1152/jappl.1993.74.6.2998					Journal of Applied Physiology			10.1152/japplphysiol	physio:jappl	8750-7587	1522-1601		Controlled	Unique_Item_Requests	1	1	0
