Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	physio:00015659
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-02T01:53:26Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss)	American Physiological Society		The American Physiological Society	Daniel Garcia-Serrana, Iban Seiliez, Jean-Charles Gabillard, Joaquim Gutiérrez, Sadasivam Kaushik, Sandrine Skiba-Cassy, Sophie Tesseraud, Stephane Panserat; 	2008-07-01	VoR	10.1152/ajpregu.00146.2008						American Journal of Physiology-Regulatory, Integrative and Comparative Physiology				Journal	10.1152/ajpregu	physio:ajpregu		0363-6119	1522-1490												Article	2008	Controlled	Regular	Unique_Item_Investigations	1	1	0
An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss)	American Physiological Society		The American Physiological Society	Daniel Garcia-Serrana, Iban Seiliez, Jean-Charles Gabillard, Joaquim Gutiérrez, Sadasivam Kaushik, Sandrine Skiba-Cassy, Sophie Tesseraud, Stephane Panserat; 	2008-07-01	VoR	10.1152/ajpregu.00146.2008						American Journal of Physiology-Regulatory, Integrative and Comparative Physiology				Journal	10.1152/ajpregu	physio:ajpregu		0363-6119	1522-1490												Article	2008	Controlled	Regular	Total_Item_Requests	2	2	0
An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss)	American Physiological Society		The American Physiological Society	Daniel Garcia-Serrana, Iban Seiliez, Jean-Charles Gabillard, Joaquim Gutiérrez, Sadasivam Kaushik, Sandrine Skiba-Cassy, Sophie Tesseraud, Stephane Panserat; 	2008-07-01	VoR	10.1152/ajpregu.00146.2008						American Journal of Physiology-Regulatory, Integrative and Comparative Physiology				Journal	10.1152/ajpregu	physio:ajpregu		0363-6119	1522-1490												Article	2008	Controlled	Regular	Total_Item_Investigations	2	2	0
An in vivo and in vitro assessment of TOR signaling cascade in rainbow trout (Oncorhynchus mykiss)	American Physiological Society		The American Physiological Society	Daniel Garcia-Serrana, Iban Seiliez, Jean-Charles Gabillard, Joaquim Gutiérrez, Sadasivam Kaushik, Sandrine Skiba-Cassy, Sophie Tesseraud, Stephane Panserat; 	2008-07-01	VoR	10.1152/ajpregu.00146.2008						American Journal of Physiology-Regulatory, Integrative and Comparative Physiology				Journal	10.1152/ajpregu	physio:ajpregu		0363-6119	1522-1490												Article	2008	Controlled	Regular	Unique_Item_Requests	1	1	0
Avian renal portal valve: a reexamination of its innervation	American Physiological Society		The American Physiological Society	E. J. Braun, M. E. Burrows, S. P. Duckles; 	1983-10-01	VoR	10.1152/ajpheart.1983.245.4.H628						American Journal of Physiology-Heart and Circulatory Physiology				Journal	10.1152/ajpheart	physio:ajpheart		0363-6135	1522-1539												Article	1983	Controlled	Regular	Unique_Item_Investigations	1	1	0
Avian renal portal valve: a reexamination of its innervation	American Physiological Society		The American Physiological Society	E. J. Braun, M. E. Burrows, S. P. Duckles; 	1983-10-01	VoR	10.1152/ajpheart.1983.245.4.H628						American Journal of Physiology-Heart and Circulatory Physiology				Journal	10.1152/ajpheart	physio:ajpheart		0363-6135	1522-1539												Article	1983	Controlled	Regular	Total_Item_Requests	2	2	0
Avian renal portal valve: a reexamination of its innervation	American Physiological Society		The American Physiological Society	E. J. Braun, M. E. Burrows, S. P. Duckles; 	1983-10-01	VoR	10.1152/ajpheart.1983.245.4.H628						American Journal of Physiology-Heart and Circulatory Physiology				Journal	10.1152/ajpheart	physio:ajpheart		0363-6135	1522-1539												Article	1983	Controlled	Regular	Total_Item_Investigations	3	3	0
Avian renal portal valve: a reexamination of its innervation	American Physiological Society		The American Physiological Society	E. J. Braun, M. E. Burrows, S. P. Duckles; 	1983-10-01	VoR	10.1152/ajpheart.1983.245.4.H628						American Journal of Physiology-Heart and Circulatory Physiology				Journal	10.1152/ajpheart	physio:ajpheart		0363-6135	1522-1539												Article	1983	Controlled	Regular	Unique_Item_Requests	1	1	0
Carbohydrate feedings and exercise performance: effect of initial muscle glycogen concentration	American Physiological Society		The American Physiological Society	D. L. Costill, G. K. McConell, H. Tanaka, J. J. Widrick, M. S. Hickey, W. J. Fink; 	1993-06-01	VoR	10.1152/jappl.1993.74.6.2998						Journal of Applied Physiology				Journal	10.1152/japplphysiol	physio:jappl		8750-7587	1522-1601												Article	1993	Controlled	Regular	Unique_Item_Investigations	1	1	0
Carbohydrate feedings and exercise performance: effect of initial muscle glycogen concentration	American Physiological Society		The American Physiological Society	D. L. Costill, G. K. McConell, H. Tanaka, J. J. Widrick, M. S. Hickey, W. J. Fink; 	1993-06-01	VoR	10.1152/jappl.1993.74.6.2998						Journal of Applied Physiology				Journal	10.1152/japplphysiol	physio:jappl		8750-7587	1522-1601												Article	1993	Controlled	Regular	Total_Item_Requests	1	1	0
Carbohydrate feedings and exercise performance: effect of initial muscle glycogen concentration	American Physiological Society		The American Physiological Society	D. L. Costill, G. K. McConell, H. Tanaka, J. J. Widrick, M. S. Hickey, W. J. Fink; 	1993-06-01	VoR	10.1152/jappl.1993.74.6.2998						Journal of Applied Physiology				Journal	10.1152/japplphysiol	physio:jappl		8750-7587	1522-1601												Article	1993	Controlled	Regular	Total_Item_Investigations	1	1	0
