Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mms:000102063747
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:51:49Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	Alexandre Lautrette, Benoit Schlemmer, Bertrand Souweine, Bruno Megarbane, Cédric Bruel, Christophe Adrie, Dany Goldgran-Toledano, Didier Barnoud, Elie Azoulay, Fabienne Fieux, Fayçal Saidi, François Vincent, Frédéric Pochard, Georges Loubert, Gérald Choukroun, Gérard Bleichner, Hugues Georges, J. Randall Curtis, Jean Reignier, Luc Marie Joly, Maité Garrouste-Orgeas, Mercé Jourdain, Michael Darmon, Nancy Kentish Barnes, Richard Galliot, Sylvie Chevret; 	2007-02-01	VoR	10.1056/NEJMoa063446						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2007	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	Alexandre Lautrette, Benoit Schlemmer, Bertrand Souweine, Bruno Megarbane, Cédric Bruel, Christophe Adrie, Dany Goldgran-Toledano, Didier Barnoud, Elie Azoulay, Fabienne Fieux, Fayçal Saidi, François Vincent, Frédéric Pochard, Georges Loubert, Gérald Choukroun, Gérard Bleichner, Hugues Georges, J. Randall Curtis, Jean Reignier, Luc Marie Joly, Maité Garrouste-Orgeas, Mercé Jourdain, Michael Darmon, Nancy Kentish Barnes, Richard Galliot, Sylvie Chevret; 	2007-02-01	VoR	10.1056/NEJMoa063446						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2007	Controlled	Regular	Unique_Item_Requests	1	1	0
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	Alexandre Lautrette, Benoit Schlemmer, Bertrand Souweine, Bruno Megarbane, Cédric Bruel, Christophe Adrie, Dany Goldgran-Toledano, Didier Barnoud, Elie Azoulay, Fabienne Fieux, Fayçal Saidi, François Vincent, Frédéric Pochard, Georges Loubert, Gérald Choukroun, Gérard Bleichner, Hugues Georges, J. Randall Curtis, Jean Reignier, Luc Marie Joly, Maité Garrouste-Orgeas, Mercé Jourdain, Michael Darmon, Nancy Kentish Barnes, Richard Galliot, Sylvie Chevret; 	2007-02-01	VoR	10.1056/NEJMoa063446						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2007	Controlled	Regular	Total_Item_Requests	2	2	0
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	Alexandre Lautrette, Benoit Schlemmer, Bertrand Souweine, Bruno Megarbane, Cédric Bruel, Christophe Adrie, Dany Goldgran-Toledano, Didier Barnoud, Elie Azoulay, Fabienne Fieux, Fayçal Saidi, François Vincent, Frédéric Pochard, Georges Loubert, Gérald Choukroun, Gérard Bleichner, Hugues Georges, J. Randall Curtis, Jean Reignier, Luc Marie Joly, Maité Garrouste-Orgeas, Mercé Jourdain, Michael Darmon, Nancy Kentish Barnes, Richard Galliot, Sylvie Chevret; 	2007-02-01	VoR	10.1056/NEJMoa063446						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2007	Controlled	Regular	Total_Item_Investigations	2	2	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	Amy Kowinsky, Anne-Marie Shields, Caroline Pidro, Chung-Chou H. Chang, Cynthia Paner, Derek C. Angus, Douglas B. White, Elizabeth Chaitin, Francis Pike, Jeremy M. Kahn, Joseph M. Darby, Lisa Weissfeld, Praewpannarai Buddadhumaruk, Robert M. Arnold, Susan Martin; 	2018-05-23	VoR	10.1056/NEJMoa1802637						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	Amy Kowinsky, Anne-Marie Shields, Caroline Pidro, Chung-Chou H. Chang, Cynthia Paner, Derek C. Angus, Douglas B. White, Elizabeth Chaitin, Francis Pike, Jeremy M. Kahn, Joseph M. Darby, Lisa Weissfeld, Praewpannarai Buddadhumaruk, Robert M. Arnold, Susan Martin; 	2018-05-23	VoR	10.1056/NEJMoa1802637						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2018	Controlled	Regular	Unique_Item_Requests	1	1	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	Amy Kowinsky, Anne-Marie Shields, Caroline Pidro, Chung-Chou H. Chang, Cynthia Paner, Derek C. Angus, Douglas B. White, Elizabeth Chaitin, Francis Pike, Jeremy M. Kahn, Joseph M. Darby, Lisa Weissfeld, Praewpannarai Buddadhumaruk, Robert M. Arnold, Susan Martin; 	2018-05-23	VoR	10.1056/NEJMoa1802637						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2018	Controlled	Regular	Total_Item_Requests	2	2	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	Amy Kowinsky, Anne-Marie Shields, Caroline Pidro, Chung-Chou H. Chang, Cynthia Paner, Derek C. Angus, Douglas B. White, Elizabeth Chaitin, Francis Pike, Jeremy M. Kahn, Joseph M. Darby, Lisa Weissfeld, Praewpannarai Buddadhumaruk, Robert M. Arnold, Susan Martin; 	2018-05-23	VoR	10.1056/NEJMoa1802637						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2018	Controlled	Regular	Total_Item_Investigations	2	2	0
A Serious Adverse Event after Successful Gene Therapy for X-Linked Severe Combined Immunodeficiency	Massachusetts Medical Society		New England Journal of Medicine	Alain Fischer, Christof von Kalle, Christopher C. Fraser, Elisabeth McIntyre, Françoise Le Deist, Isabelle Radford, Jean-Luc Villeval, Manfred Schmidt, Marina Cavazzana-Calvo, Nicolas Wulffraat, Salima Hacein-Bey-Abina; 	2003-01-16	VoR	10.1056/NEJM200301163480314						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2003	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Serious Adverse Event after Successful Gene Therapy for X-Linked Severe Combined Immunodeficiency	Massachusetts Medical Society		New England Journal of Medicine	Alain Fischer, Christof von Kalle, Christopher C. Fraser, Elisabeth McIntyre, Françoise Le Deist, Isabelle Radford, Jean-Luc Villeval, Manfred Schmidt, Marina Cavazzana-Calvo, Nicolas Wulffraat, Salima Hacein-Bey-Abina; 	2003-01-16	VoR	10.1056/NEJM200301163480314						New England Journal of Medicine				Journal	10.1056/nejm	mms:nejm		0028-4793	1533-4406												Article	2003	Controlled	Regular	Unique_Item_Requests	1	1	0
