Report_Name	Database Access Denied
Report_ID	DR_D2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	No_License; Limit_Exceeded
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3030: No Usage Available for Requested Dates (Requested data between 2024-01-01 and 2024-01-31)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-02T01:52:15Z
Created_By	Atypon Systems LLC.

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
