Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-02T01:52:18Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	10.1146/annurev-fluid-010518-040516						Unique_Item_Investigations	1	1	0
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	10.1146/annurev-fluid-010518-040516						Total_Item_Requests	2	2	0
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	10.1146/annurev-fluid-010518-040516						Total_Item_Investigations	2	2	0
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	10.1146/annurev-fluid-010518-040516						Unique_Item_Requests	1	1	0
Biomarkers in Veterinary Medicine*	Annual Reviews		Annual Reviews	10.1146/annurev-animal-021815-111431						Unique_Item_Investigations	1	1	0
Biomarkers in Veterinary Medicine*	Annual Reviews		Annual Reviews	10.1146/annurev-animal-021815-111431						Total_Item_Requests	2	2	0
Biomarkers in Veterinary Medicine*	Annual Reviews		Annual Reviews	10.1146/annurev-animal-021815-111431						Total_Item_Investigations	2	2	0
Biomarkers in Veterinary Medicine*	Annual Reviews		Annual Reviews	10.1146/annurev-animal-021815-111431						Unique_Item_Requests	1	1	0
CARRIER-MEDIATED MEMBRANE TRANSPORT OF FOLATES IN MAMMALIAN CELLS	Annual Reviews		Annual Reviews	10.1146/annurev.nutr.19.1.91						Unique_Item_Investigations	1	1	0
CARRIER-MEDIATED MEMBRANE TRANSPORT OF FOLATES IN MAMMALIAN CELLS	Annual Reviews		Annual Reviews	10.1146/annurev.nutr.19.1.91						Total_Item_Requests	2	2	0
CARRIER-MEDIATED MEMBRANE TRANSPORT OF FOLATES IN MAMMALIAN CELLS	Annual Reviews		Annual Reviews	10.1146/annurev.nutr.19.1.91						Total_Item_Investigations	2	2	0
CARRIER-MEDIATED MEMBRANE TRANSPORT OF FOLATES IN MAMMALIAN CELLS	Annual Reviews		Annual Reviews	10.1146/annurev.nutr.19.1.91						Unique_Item_Requests	1	1	0
CLIMATE CHANGE AND PLANT DISEASE MANAGEMENT	Annual Reviews		Annual Reviews	10.1146/annurev.phyto.37.1.399						Unique_Item_Investigations	1	1	0
CLIMATE CHANGE AND PLANT DISEASE MANAGEMENT	Annual Reviews		Annual Reviews	10.1146/annurev.phyto.37.1.399						Total_Item_Requests	1	1	0
CLIMATE CHANGE AND PLANT DISEASE MANAGEMENT	Annual Reviews		Annual Reviews	10.1146/annurev.phyto.37.1.399						Total_Item_Investigations	2	2	0
CLIMATE CHANGE AND PLANT DISEASE MANAGEMENT	Annual Reviews		Annual Reviews	10.1146/annurev.phyto.37.1.399						Unique_Item_Requests	1	1	0
Climate Change Influences on Marine Infectious Diseases: Implications for Management and Society	Annual Reviews		Annual Reviews	10.1146/annurev-marine-010213-135029						Unique_Item_Investigations	1	1	0
Climate Change Influences on Marine Infectious Diseases: Implications for Management and Society	Annual Reviews		Annual Reviews	10.1146/annurev-marine-010213-135029						Total_Item_Investigations	1	1	0
Clinical Care and Health Disparities*	Annual Reviews		Annual Reviews	10.1146/annurev-publhealth-031811-124528						Unique_Item_Investigations	1	1	0
Clinical Care and Health Disparities*	Annual Reviews		Annual Reviews	10.1146/annurev-publhealth-031811-124528						Total_Item_Investigations	1	1	0
Critical Race Theory: Confronting, Challenging, and Rethinking White Privilege	Annual Reviews		Annual Reviews	10.1146/annurev-soc-031021-123710						Unique_Item_Investigations	1	1	0
Critical Race Theory: Confronting, Challenging, and Rethinking White Privilege	Annual Reviews		Annual Reviews	10.1146/annurev-soc-031021-123710						Total_Item_Requests	1	1	0
Critical Race Theory: Confronting, Challenging, and Rethinking White Privilege	Annual Reviews		Annual Reviews	10.1146/annurev-soc-031021-123710						Total_Item_Investigations	1	1	0
Critical Race Theory: Confronting, Challenging, and Rethinking White Privilege	Annual Reviews		Annual Reviews	10.1146/annurev-soc-031021-123710						Unique_Item_Requests	1	1	0
Cultivating the Body: Anthropology and Epistemologies of Bodily Practice and Knowledge	Annual Reviews		Annual Reviews	10.1146/annurev.an.22.100193.001025						Unique_Item_Investigations	2	2	0
Cultivating the Body: Anthropology and Epistemologies of Bodily Practice and Knowledge	Annual Reviews		Annual Reviews	10.1146/annurev.an.22.100193.001025						Total_Item_Investigations	2	2	0
Disparities in Access to Oral Health Care	Annual Reviews		Annual Reviews	10.1146/annurev-publhealth-040119-094318						Unique_Item_Investigations	1	1	0
Disparities in Access to Oral Health Care	Annual Reviews		Annual Reviews	10.1146/annurev-publhealth-040119-094318						Total_Item_Requests	1	1	0
Disparities in Access to Oral Health Care	Annual Reviews		Annual Reviews	10.1146/annurev-publhealth-040119-094318						Total_Item_Investigations	2	2	0
Disparities in Access to Oral Health Care	Annual Reviews		Annual Reviews	10.1146/annurev-publhealth-040119-094318						Unique_Item_Requests	1	1	0
Diversity and Natural Functions of Antibiotics Produced by Beneficial and Plant Pathogenic Bacteria	Annual Reviews		Annual Reviews	10.1146/annurev-phyto-081211-172908						Unique_Item_Investigations	1	1	0
Diversity and Natural Functions of Antibiotics Produced by Beneficial and Plant Pathogenic Bacteria	Annual Reviews		Annual Reviews	10.1146/annurev-phyto-081211-172908						Total_Item_Requests	2	2	0
Diversity and Natural Functions of Antibiotics Produced by Beneficial and Plant Pathogenic Bacteria	Annual Reviews		Annual Reviews	10.1146/annurev-phyto-081211-172908						Total_Item_Investigations	2	2	0
