Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	UNIV OF PRINCE EDWARD ISLAND
Institution_ID	Silverchair:530
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Access_Type=Controlled; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016	0014-1801	1527-5477		Total_Item_Requests	13	13	0
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016	0014-1801	1527-5477		Unique_Item_Requests	7	7	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002	0361-6878	1527-1927		Unique_Item_Requests	1	1	0
Journal of Health Politics, Policy and Law	Duke University Press		Duke University Press		Silverchair:1000002	0361-6878	1527-1927		Total_Item_Requests	1	1	0
