Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	app:297459
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:54:52Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	Donald R. Robinaugh, Payton J. Jones; 	2021-06-17	VoR	10.1176/appi.focus.20200050						FOCUS				Journal	10.1176/foc	app:foc		1541-4094	1541-4108												Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	Donald R. Robinaugh, Payton J. Jones; 	2021-06-17	VoR	10.1176/appi.focus.20200050						FOCUS				Journal	10.1176/foc	app:foc		1541-4094	1541-4108												Article	2021	Controlled	Regular	Unique_Item_Requests	1	1	0
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	Donald R. Robinaugh, Payton J. Jones; 	2021-06-17	VoR	10.1176/appi.focus.20200050						FOCUS				Journal	10.1176/foc	app:foc		1541-4094	1541-4108												Article	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	Donald R. Robinaugh, Payton J. Jones; 	2021-06-17	VoR	10.1176/appi.focus.20200050						FOCUS				Journal	10.1176/foc	app:foc		1541-4094	1541-4108												Article	2021	Controlled	Regular	Total_Item_Requests	1	1	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Requests	1	1	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	Petros Levounis; 	2024-01-18	VoR	10.1176/appi.pn.2024.02.2.28						Psychiatric News				Journal	10.1176/pn	app:pn		0033-2704	1559-1255												Article	2024	Controlled	Regular	Unique_Item_Investigations	4	4	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	Petros Levounis; 	2024-01-18	VoR	10.1176/appi.pn.2024.02.2.28						Psychiatric News				Journal	10.1176/pn	app:pn		0033-2704	1559-1255												Article	2024	Controlled	Regular	Unique_Item_Requests	4	4	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	Petros Levounis; 	2024-01-18	VoR	10.1176/appi.pn.2024.02.2.28						Psychiatric News				Journal	10.1176/pn	app:pn		0033-2704	1559-1255												Article	2024	Controlled	Regular	Total_Item_Investigations	10	10	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	Petros Levounis; 	2024-01-18	VoR	10.1176/appi.pn.2024.02.2.28						Psychiatric News				Journal	10.1176/pn	app:pn		0033-2704	1559-1255												Article	2024	Controlled	Regular	Total_Item_Requests	5	5	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	Jerald Kay, Joel Yager, Kimberly Kelsay; 	2021-01-15	VoR	10.1176/appi.psychotherapy.20200025						American Journal of Psychotherapy				Journal	10.1176/psychotherapy	app:apt		0002-9564	2575-6559												Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	Jerald Kay, Joel Yager, Kimberly Kelsay; 	2021-01-15	VoR	10.1176/appi.psychotherapy.20200025						American Journal of Psychotherapy				Journal	10.1176/psychotherapy	app:apt		0002-9564	2575-6559												Article	2021	Controlled	Regular	Unique_Item_Requests	1	1	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	Jerald Kay, Joel Yager, Kimberly Kelsay; 	2021-01-15	VoR	10.1176/appi.psychotherapy.20200025						American Journal of Psychotherapy				Journal	10.1176/psychotherapy	app:apt		0002-9564	2575-6559												Article	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	Jerald Kay, Joel Yager, Kimberly Kelsay; 	2021-01-15	VoR	10.1176/appi.psychotherapy.20200025						American Journal of Psychotherapy				Journal	10.1176/psychotherapy	app:apt		0002-9564	2575-6559												Article	2021	Controlled	Regular	Total_Item_Requests	1	1	0
Copyright	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.x00pre						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
Copyright	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.x00pre						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
Copyright	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.x00pre						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
Copyright	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.x00pre						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Requests	1	1	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-18		10.1176/appi.books.9780890425596		978-0-89042-557-2																									Book	2013	Controlled	Regular	Unique_Item_Investigations	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-18		10.1176/appi.books.9780890425596		978-0-89042-557-2																									Book	2013	Controlled	Regular	Unique_Item_Requests	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-18		10.1176/appi.books.9780890425596		978-0-89042-557-2																									Book	2013	Controlled	Regular	Total_Item_Investigations	8	8	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-18		10.1176/appi.books.9780890425596		978-0-89042-557-2																									Book	2013	Controlled	Regular	Total_Item_Requests	8	8	0
Differential Diagnosis Step by Step	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-23		10.1176/appi.books.9781585629992.mf01						DSM-5® Handbook of Differential Diagnosis				Book	10.1176/appi.books.9781585629992		978-1-58562-998-5														Book_Segment	2013	Controlled	Regular	Unique_Item_Investigations	1	1	0
Differential Diagnosis Step by Step	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-23		10.1176/appi.books.9781585629992.mf01						DSM-5® Handbook of Differential Diagnosis				Book	10.1176/appi.books.9781585629992		978-1-58562-998-5														Book_Segment	2013	Controlled	Regular	Unique_Item_Requests	1	1	0
Differential Diagnosis Step by Step	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-23		10.1176/appi.books.9781585629992.mf01						DSM-5® Handbook of Differential Diagnosis				Book	10.1176/appi.books.9781585629992		978-1-58562-998-5														Book_Segment	2013	Controlled	Regular	Total_Item_Investigations	2	2	0
Differential Diagnosis Step by Step	American Psychiatric Publishing		American Psychiatric Publishing		2014-09-23		10.1176/appi.books.9781585629992.mf01						DSM-5® Handbook of Differential Diagnosis				Book	10.1176/appi.books.9781585629992		978-1-58562-998-5														Book_Segment	2013	Controlled	Regular	Total_Item_Requests	1	1	0
DSM-5 Basics	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.Section_1						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
DSM-5 Basics	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.Section_1						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
DSM-5 Basics	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.Section_1						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
DSM-5 Basics	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.5555/appi.books.9780890425787.Section_1						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Requests	1	1	0
Elimination Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x11_Elimination_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
Elimination Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x11_Elimination_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
Elimination Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x11_Elimination_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
Elimination Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x11_Elimination_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Requests	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	SCOTT WETZLER; 	2014-10-08	VoR	10.1176/appi.ajp.162.3.639						American Journal of Psychiatry				Journal	10.1176/ajp	app:ajp		0002-953X	1535-7228												Article	2005	Controlled	Regular	Unique_Item_Investigations	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	SCOTT WETZLER; 	2014-10-08	VoR	10.1176/appi.ajp.162.3.639						American Journal of Psychiatry				Journal	10.1176/ajp	app:ajp		0002-953X	1535-7228												Article	2005	Controlled	Regular	Unique_Item_Requests	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	SCOTT WETZLER; 	2014-10-08	VoR	10.1176/appi.ajp.162.3.639						American Journal of Psychiatry				Journal	10.1176/ajp	app:ajp		0002-953X	1535-7228												Article	2005	Controlled	Regular	Total_Item_Investigations	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	SCOTT WETZLER; 	2014-10-08	VoR	10.1176/appi.ajp.162.3.639						American Journal of Psychiatry				Journal	10.1176/ajp	app:ajp		0002-953X	1535-7228												Article	2005	Controlled	Regular	Total_Item_Requests	1	1	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Introduction						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Introduction						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Introduction						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.Introduction						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Requests	1	1	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x18_Personality_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Investigations	3	3	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x18_Personality_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Unique_Item_Requests	3	3	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x18_Personality_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Investigations	16	16	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing		2022-03-18		10.1176/appi.books.9780890425787.x18_Personality_Disorders						Diagnostic and Statistical Manual of Mental Disorders				Book	10.1176/appi.books.9780890425787																Book_Segment	2022	Controlled	Regular	Total_Item_Requests	7	7	0
