Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:00:32Z
Created_By	MPS Limited

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
