Report_Name	Database Access Denied
Report_ID	DR_D2
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	AMS:3092
Metric_Types	
Report_Filters	Data_Type=All; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-23T07:41:33Z
Created_By	MathSciNet

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024
MathSciNet	American Mathematical Society	ISNI:0000 0004 0509 0308	AMS		Limit_Exceeded	0	0
MathSciNet	American Mathematical Society	ISNI:0000 0004 0509 0308	AMS		No_License	0	0
