Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sagepub:21063
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:01:06Z
Created_By	Sage Publishing SecureCenter

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Diagnostic Essentials of Psychopathology: A Case-Based Approach	Sage Publications		Sage Knowledge	10.4135/9781529740073		978-1-5063-3809-5				0001	No_License	4	4	0
Neuralink: Invasive Neurotechnology for Human Welfare	Sage Publications		Sage Knowledge	10.4135/9781529611762		978-1-5296-1176-2				0001	No_License	1	1	0
