Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	arrs:638004
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T22:54:27Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Investigations	3	3	0
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Requests	2	2	0
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Investigations	3	3	0
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Requests	2	2	0
