Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:13Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Controlled	Unique_Title_Investigations	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Controlled	Unique_Item_Requests	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Controlled	Total_Item_Requests	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Controlled	Total_Item_Investigations	2	2	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Controlled	Unique_Item_Investigations	1	1	0
11th Mediterranean Conference on Medical and Biomedical Engineering and Computing 2007	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-73044-6	SN:10.1007/978-3-540-73044-6	978-3-540-73044-6	1680-0737			2007	Controlled	Unique_Title_Requests	1	1	0
A Case-Based Guide to Clinical Endocrinology	Springer New York		SpringerLink	10.1007/978-1-4939-2059-4	SN:10.1007/978-1-4939-2059-4	978-1-4939-2059-4				2015	Controlled	Unique_Title_Investigations	1	1	0
A Case-Based Guide to Clinical Endocrinology	Springer New York		SpringerLink	10.1007/978-1-4939-2059-4	SN:10.1007/978-1-4939-2059-4	978-1-4939-2059-4				2015	Controlled	Total_Item_Investigations	1	1	0
A Case-Based Guide to Clinical Endocrinology	Springer New York		SpringerLink	10.1007/978-1-4939-2059-4	SN:10.1007/978-1-4939-2059-4	978-1-4939-2059-4				2015	Controlled	Unique_Item_Investigations	1	1	0
A Practical Approach to Cognitive Behaviour Therapy for Adolescents	Springer India		SpringerLink	10.1007/978-81-322-2241-5	SN:10.1007/978-81-322-2241-5	978-81-322-2241-5				2015	Controlled	Unique_Title_Investigations	1	1	0
A Practical Approach to Cognitive Behaviour Therapy for Adolescents	Springer India		SpringerLink	10.1007/978-81-322-2241-5	SN:10.1007/978-81-322-2241-5	978-81-322-2241-5				2015	Controlled	Total_Item_Investigations	1	1	0
A Practical Approach to Cognitive Behaviour Therapy for Adolescents	Springer India		SpringerLink	10.1007/978-81-322-2241-5	SN:10.1007/978-81-322-2241-5	978-81-322-2241-5				2015	Controlled	Unique_Item_Investigations	1	1	0
A Relational View on Cultural Complexity	Springer International Publishing		SpringerLink	10.1007/978-3-031-27454-1	SN:10.1007/978-3-031-27454-1	978-3-031-27454-1	2662-9852	2662-9860		2023	Controlled	Unique_Title_Investigations	1	1	0
A Relational View on Cultural Complexity	Springer International Publishing		SpringerLink	10.1007/978-3-031-27454-1	SN:10.1007/978-3-031-27454-1	978-3-031-27454-1	2662-9852	2662-9860		2023	Controlled	Total_Item_Investigations	1	1	0
A Relational View on Cultural Complexity	Springer International Publishing		SpringerLink	10.1007/978-3-031-27454-1	SN:10.1007/978-3-031-27454-1	978-3-031-27454-1	2662-9852	2662-9860		2023	Controlled	Unique_Item_Investigations	1	1	0
Abrahamic Reflections on Randomness and Providence	Springer International Publishing		SpringerLink	10.1007/978-3-030-75797-7	SN:10.1007/978-3-030-75797-7	978-3-030-75797-7				2022	OA_Gold	Unique_Title_Investigations	1	1	0
Abrahamic Reflections on Randomness and Providence	Springer International Publishing		SpringerLink	10.1007/978-3-030-75797-7	SN:10.1007/978-3-030-75797-7	978-3-030-75797-7				2022	OA_Gold	Unique_Item_Requests	1	1	0
Abrahamic Reflections on Randomness and Providence	Springer International Publishing		SpringerLink	10.1007/978-3-030-75797-7	SN:10.1007/978-3-030-75797-7	978-3-030-75797-7				2022	OA_Gold	Total_Item_Requests	1	1	0
Abrahamic Reflections on Randomness and Providence	Springer International Publishing		SpringerLink	10.1007/978-3-030-75797-7	SN:10.1007/978-3-030-75797-7	978-3-030-75797-7				2022	OA_Gold	Total_Item_Investigations	1	1	0
Abrahamic Reflections on Randomness and Providence	Springer International Publishing		SpringerLink	10.1007/978-3-030-75797-7	SN:10.1007/978-3-030-75797-7	978-3-030-75797-7				2022	OA_Gold	Unique_Item_Investigations	1	1	0
