Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mal:8252134
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:50:05Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Bone Morphogenetic Protein Signaling Inhibitor, LDN193189, Converts Ischemia-Induced Multipotent Stem Cells into Neural Stem/Progenitor Cell-Like Cells	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Akiko Nakano-Doi, Takayuki Nakagomi, Seishi Maeda, Yusuke Minato, Hideshi Yagi; 	2022-12-07	VoR	10.1089/scd.2022.0139						Stem Cells and Development				Journal	10.1089/scd.54	mal:scd		1547-3287	1557-8534												Article	2022	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Bone Morphogenetic Protein Signaling Inhibitor, LDN193189, Converts Ischemia-Induced Multipotent Stem Cells into Neural Stem/Progenitor Cell-Like Cells	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Akiko Nakano-Doi, Takayuki Nakagomi, Seishi Maeda, Yusuke Minato, Hideshi Yagi; 	2022-12-07	VoR	10.1089/scd.2022.0139						Stem Cells and Development				Journal	10.1089/scd.54	mal:scd		1547-3287	1557-8534												Article	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Daniel Weber, Henry Tomasiewicz, David H. Petering, Renee A. Hesselbach, Craig A. Berg; 	2012-12-17	VoR	10.1089/zeb.2012.0743						Zebrafish				Journal	10.1089/zeb.64	mal:zeb		1545-8547	1557-8542												Article	2012	OA_Gold	Regular	Unique_Item_Investigations	5	5	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Daniel Weber, Henry Tomasiewicz, David H. Petering, Renee A. Hesselbach, Craig A. Berg; 	2012-12-17	VoR	10.1089/zeb.2012.0743						Zebrafish				Journal	10.1089/zeb.64	mal:zeb		1545-8547	1557-8542												Article	2012	OA_Gold	Regular	Unique_Item_Requests	5	5	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Daniel Weber, Henry Tomasiewicz, David H. Petering, Renee A. Hesselbach, Craig A. Berg; 	2012-12-17	VoR	10.1089/zeb.2012.0743						Zebrafish				Journal	10.1089/zeb.64	mal:zeb		1545-8547	1557-8542												Article	2012	OA_Gold	Regular	Total_Item_Requests	6	6	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Daniel Weber, Henry Tomasiewicz, David H. Petering, Renee A. Hesselbach, Craig A. Berg; 	2012-12-17	VoR	10.1089/zeb.2012.0743						Zebrafish				Journal	10.1089/zeb.64	mal:zeb		1545-8547	1557-8542												Article	2012	OA_Gold	Regular	Total_Item_Investigations	6	6	0
A Novel, Low-Cost Anesthesia and Injection System for Zebrafish Researchers	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Michelle M. Adams, Yiğit Oskay, Ayça Arslan-Ergül, Barbaros Çetin, Naz Şerifoğlu; 	2018-04-01	VoR	10.1089/zeb.2017.1513						Zebrafish				Journal	10.1089/zeb.64	mal:zeb		1545-8547	1557-8542												Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Novel, Low-Cost Anesthesia and Injection System for Zebrafish Researchers	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Michelle M. Adams, Yiğit Oskay, Ayça Arslan-Ergül, Barbaros Çetin, Naz Şerifoğlu; 	2018-04-01	VoR	10.1089/zeb.2017.1513						Zebrafish				Journal	10.1089/zeb.64	mal:zeb		1545-8547	1557-8542												Article	2018	Controlled	Regular	Total_Item_Investigations	1	1	0
A Space-Time Permutation Scan Statistic for Evaluating County-Level Tickborne Disease Clusters in Indiana, 2009-2016	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Oghenekaro Omodior; 	2021-02-18	VoR	10.1089/hs.2019.0159						Health Security				Journal	10.1089/hs	mal:hs		2326-5094	2326-5108												Article	2021	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Space-Time Permutation Scan Statistic for Evaluating County-Level Tickborne Disease Clusters in Indiana, 2009-2016	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Oghenekaro Omodior; 	2021-02-18	VoR	10.1089/hs.2019.0159						Health Security				Journal	10.1089/hs	mal:hs		2326-5094	2326-5108												Article	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
