Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mbs:sgid023870
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(Search Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:50:39Z
Created_By	Microbiology Society

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
mbs	Total_Item_Requests	12	12	0
mbs	Unique_Item_Requests	9	9	0
