Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-29T02:47:59Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Journal	Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Journal	Article	2017	Controlled	Regular	Unique_Item_Requests	1	1
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Journal	Article	2017	Controlled	Regular	Total_Item_Requests	2	2
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal		2165-8102	2165-8110		Journal	Article	2017	Controlled	Regular	Total_Item_Investigations	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1985	Controlled	Regular	Unique_Item_Investigations	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1985	Controlled	Regular	Unique_Item_Requests	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1985	Controlled	Regular	Total_Item_Requests	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1985	Controlled	Regular	Total_Item_Investigations	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1991	Controlled	Regular	Unique_Item_Investigations	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1991	Controlled	Regular	Unique_Item_Requests	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1991	Controlled	Regular	Total_Item_Requests	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1991	Controlled	Regular	Total_Item_Investigations	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1992	Controlled	Regular	Unique_Item_Investigations	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1992	Controlled	Regular	Unique_Item_Requests	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1992	Controlled	Regular	Total_Item_Requests	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1992	Controlled	Regular	Total_Item_Investigations	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1993	Controlled	Regular	Unique_Item_Investigations	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	1993	Controlled	Regular	Total_Item_Investigations	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	2015	Controlled	Regular	Unique_Item_Requests	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	2015	Controlled	Regular	Total_Item_Requests	1	1
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro		0084-6570	1545-4290		Journal	Article	2015	Controlled	Regular	Total_Item_Investigations	1	1
Annual Review of Biochemistry	Annual Reviews		Annual Reviews	10.1146/biochem.684	ar:biochem		0066-4154	1545-4509		Journal	Article	1985	Controlled	Regular	Unique_Item_Investigations	2	2
Annual Review of Biochemistry	Annual Reviews		Annual Reviews	10.1146/biochem.684	ar:biochem		0066-4154	1545-4509		Journal	Article	1985	Controlled	Regular	Unique_Item_Requests	2	2
Annual Review of Biochemistry	Annual Reviews		Annual Reviews	10.1146/biochem.684	ar:biochem		0066-4154	1545-4509		Journal	Article	1985	Controlled	Regular	Total_Item_Requests	2	2
