Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-29T02:47:48Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal	2165-8102	2165-8110		Controlled	Unique_Item_Investigations	1	1
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal	2165-8102	2165-8110		Controlled	Unique_Item_Requests	1	1
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal	2165-8102	2165-8110		Controlled	Total_Item_Requests	2	2
Annual Review of Animal Biosciences	Annual Reviews		Annual Reviews	10.1146/animal	ar:animal	2165-8102	2165-8110		Controlled	Total_Item_Investigations	2	2
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro	0084-6570	1545-4290		Controlled	Unique_Item_Investigations	7	7
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro	0084-6570	1545-4290		Controlled	Unique_Item_Requests	5	5
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro	0084-6570	1545-4290		Controlled	Total_Item_Requests	5	5
Annual Review of Anthropology	Annual Reviews		Annual Reviews	10.1146/anthro.672	ar:anthro	0084-6570	1545-4290		Controlled	Total_Item_Investigations	7	7
Annual Review of Biochemistry	Annual Reviews		Annual Reviews	10.1146/biochem.684	ar:biochem	0066-4154	1545-4509		Controlled	Unique_Item_Investigations	2	2
Annual Review of Biochemistry	Annual Reviews		Annual Reviews	10.1146/biochem.684	ar:biochem	0066-4154	1545-4509		Controlled	Unique_Item_Requests	2	2
Annual Review of Biochemistry	Annual Reviews		Annual Reviews	10.1146/biochem.684	ar:biochem	0066-4154	1545-4509		Controlled	Total_Item_Requests	2	2
Annual Review of Biochemistry	Annual Reviews		Annual Reviews	10.1146/biochem.684	ar:biochem	0066-4154	1545-4509		Controlled	Total_Item_Investigations	3	3
Annual Review of Biophysics	Annual Reviews		Annual Reviews	10.1146/biophys.817	ar:biophys	1936-122X	1936-1238		Controlled	Unique_Item_Investigations	1	1
Annual Review of Biophysics	Annual Reviews		Annual Reviews	10.1146/biophys.817	ar:biophys	1936-122X	1936-1238		Controlled	Unique_Item_Requests	1	1
Annual Review of Biophysics	Annual Reviews		Annual Reviews	10.1146/biophys.817	ar:biophys	1936-122X	1936-1238		Controlled	Total_Item_Requests	1	1
Annual Review of Biophysics	Annual Reviews		Annual Reviews	10.1146/biophys.817	ar:biophys	1936-122X	1936-1238		Controlled	Total_Item_Investigations	1	1
Annual Review of Clinical Psychology	Annual Reviews		Annual Reviews	10.1146/clinpsy.724	ar:clinpsy	1548-5943	1548-5951		Controlled	Unique_Item_Investigations	1	1
Annual Review of Clinical Psychology	Annual Reviews		Annual Reviews	10.1146/clinpsy.724	ar:clinpsy	1548-5943	1548-5951		Controlled	Unique_Item_Requests	1	1
Annual Review of Clinical Psychology	Annual Reviews		Annual Reviews	10.1146/clinpsy.724	ar:clinpsy	1548-5943	1548-5951		Controlled	Total_Item_Requests	2	2
Annual Review of Clinical Psychology	Annual Reviews		Annual Reviews	10.1146/clinpsy.724	ar:clinpsy	1548-5943	1548-5951		Controlled	Total_Item_Investigations	2	2
Annual Review of Developmental Psychology	Annual Reviews		Annual Reviews	10.1146/devpsych	ar:devpsych	2640-7922	2640-7922		Controlled	Unique_Item_Investigations	1	1
Annual Review of Developmental Psychology	Annual Reviews		Annual Reviews	10.1146/devpsych	ar:devpsych	2640-7922	2640-7922		Controlled	Total_Item_Investigations	1	1
Annual Review of Earth and Planetary Sciences	Annual Reviews		Annual Reviews	10.1146/earth.691	ar:earth	0084-6597	1545-4495		Controlled	Unique_Item_Investigations	1	1
Annual Review of Earth and Planetary Sciences	Annual Reviews		Annual Reviews	10.1146/earth.691	ar:earth	0084-6597	1545-4495		Controlled	Unique_Item_Requests	1	1
Annual Review of Earth and Planetary Sciences	Annual Reviews		Annual Reviews	10.1146/earth.691	ar:earth	0084-6597	1545-4495		Controlled	Total_Item_Requests	1	1
Annual Review of Earth and Planetary Sciences	Annual Reviews		Annual Reviews	10.1146/earth.691	ar:earth	0084-6597	1545-4495		Controlled	Total_Item_Investigations	1	1
Annual Review of Ecology, Evolution, and Systematics	Annual Reviews		Annual Reviews	10.1146/ecolsys.693	ar:ecolsys	1543-592X	1545-2069		Controlled	Unique_Item_Investigations	1	1
Annual Review of Ecology, Evolution, and Systematics	Annual Reviews		Annual Reviews	10.1146/ecolsys.693	ar:ecolsys	1543-592X	1545-2069		Controlled	Unique_Item_Requests	1	1
Annual Review of Ecology, Evolution, and Systematics	Annual Reviews		Annual Reviews	10.1146/ecolsys.693	ar:ecolsys	1543-592X	1545-2069		Controlled	Total_Item_Requests	1	1
Annual Review of Ecology, Evolution, and Systematics	Annual Reviews		Annual Reviews	10.1146/ecolsys.693	ar:ecolsys	1543-592X	1545-2069		Controlled	Total_Item_Investigations	2	2
Annual Review of Economics	Annual Reviews		Annual Reviews	10.1146/economics	ar:economics	1941-1383	1941-1391		Controlled	Unique_Item_Investigations	1	1
Annual Review of Economics	Annual Reviews		Annual Reviews	10.1146/economics	ar:economics	1941-1383	1941-1391		Controlled	Unique_Item_Requests	1	1
Annual Review of Economics	Annual Reviews		Annual Reviews	10.1146/economics	ar:economics	1941-1383	1941-1391		Controlled	Total_Item_Requests	1	1
Annual Review of Economics	Annual Reviews		Annual Reviews	10.1146/economics	ar:economics	1941-1383	1941-1391		Controlled	Total_Item_Investigations	2	2
Annual Review of Entomology	Annual Reviews		Annual Reviews	10.1146/ento.697	ar:ento	0066-4170	1545-4487		Controlled	Unique_Item_Investigations	2	2
Annual Review of Entomology	Annual Reviews		Annual Reviews	10.1146/ento.697	ar:ento	0066-4170	1545-4487		Controlled	Unique_Item_Requests	2	2
Annual Review of Entomology	Annual Reviews		Annual Reviews	10.1146/ento.697	ar:ento	0066-4170	1545-4487		Controlled	Total_Item_Requests	2	2
Annual Review of Entomology	Annual Reviews		Annual Reviews	10.1146/ento.697	ar:ento	0066-4170	1545-4487		Controlled	Total_Item_Investigations	2	2
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		Controlled	Unique_Item_Investigations	4	4
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		Controlled	Unique_Item_Requests	4	4
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		Controlled	Total_Item_Requests	4	4
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		Controlled	Total_Item_Investigations	5	5
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		OA_Gold	Unique_Item_Investigations	1	1
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		OA_Gold	Unique_Item_Requests	1	1
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		OA_Gold	Total_Item_Requests	1	1
Annual Review of Environment and Resources	Annual Reviews		Annual Reviews	10.1146/energy.721	ar:energy	1543-5938	1545-2050		OA_Gold	Total_Item_Investigations	1	1
Annual Review of Fluid Mechanics	Annual Reviews		Annual Reviews	10.1146/fluid.698	ar:fluid	0066-4189	1545-4479		Controlled	Unique_Item_Investigations	1	1
Annual Review of Fluid Mechanics	Annual Reviews		Annual Reviews	10.1146/fluid.698	ar:fluid	0066-4189	1545-4479		Controlled	Unique_Item_Requests	1	1
Annual Review of Fluid Mechanics	Annual Reviews		Annual Reviews	10.1146/fluid.698	ar:fluid	0066-4189	1545-4479		Controlled	Total_Item_Requests	2	2
Annual Review of Fluid Mechanics	Annual Reviews		Annual Reviews	10.1146/fluid.698	ar:fluid	0066-4189	1545-4479		Controlled	Total_Item_Investigations	2	2
Annual Review of Law and Social Science	Annual Reviews		Annual Reviews	10.1146/lawsocsci.807	ar:lawsocsci	1550-3585	1550-3631		Controlled	Unique_Item_Investigations	1	1
Annual Review of Law and Social Science	Annual Reviews		Annual Reviews	10.1146/lawsocsci.807	ar:lawsocsci	1550-3585	1550-3631		Controlled	Unique_Item_Requests	1	1
Annual Review of Law and Social Science	Annual Reviews		Annual Reviews	10.1146/lawsocsci.807	ar:lawsocsci	1550-3585	1550-3631		Controlled	Total_Item_Requests	1	1
Annual Review of Law and Social Science	Annual Reviews		Annual Reviews	10.1146/lawsocsci.807	ar:lawsocsci	1550-3585	1550-3631		Controlled	Total_Item_Investigations	1	1
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		Controlled	Unique_Item_Investigations	6	6
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		Controlled	Unique_Item_Requests	3	3
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		Controlled	Total_Item_Requests	11	11
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		Controlled	Total_Item_Investigations	16	16
