Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:12Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Student and Postqualitative Inquiry Walk Into a Bar: Syncretistic Methodology and Practices of Becoming-Researcher	SAGE Publications		SAGE Journals	10.1177/1609406919852001						Unique_Item_Requests	1	1	0
A Student and Postqualitative Inquiry Walk Into a Bar: Syncretistic Methodology and Practices of Becoming-Researcher	SAGE Publications		SAGE Journals	10.1177/1609406919852001						Total_Item_Requests	2	2	0
A Student and Postqualitative Inquiry Walk Into a Bar: Syncretistic Methodology and Practices of Becoming-Researcher	SAGE Publications		SAGE Journals	10.1177/1609406919852001						Total_Item_Investigations	2	2	0
A Test of Revised Scales for the Meyer and Allen (1991) Three-Component Commitment Construct	SAGE Publications		SAGE Journals	10.1177/00131640021970754						Unique_Item_Investigations	1	1	0
A Test of Revised Scales for the Meyer and Allen (1991) Three-Component Commitment Construct	SAGE Publications		SAGE Journals	10.1177/00131640021970754						Unique_Item_Requests	1	1	0
A Test of Revised Scales for the Meyer and Allen (1991) Three-Component Commitment Construct	SAGE Publications		SAGE Journals	10.1177/00131640021970754						Total_Item_Requests	1	1	0
A Test of Revised Scales for the Meyer and Allen (1991) Three-Component Commitment Construct	SAGE Publications		SAGE Journals	10.1177/00131640021970754						Total_Item_Investigations	1	1	0
A Test of the Revised Minkov-Hofstede Model of Culture: Mirror Images of Subjective and Objective Culture across Nations and the 50 US States	SAGE Publications		SAGE Journals	10.1177/10693971211014468						Unique_Item_Investigations	1	1	0
A Test of the Revised Minkov-Hofstede Model of Culture: Mirror Images of Subjective and Objective Culture across Nations and the 50 US States	SAGE Publications		SAGE Journals	10.1177/10693971211014468						Unique_Item_Requests	1	1	0
A Test of the Revised Minkov-Hofstede Model of Culture: Mirror Images of Subjective and Objective Culture across Nations and the 50 US States	SAGE Publications		SAGE Journals	10.1177/10693971211014468						Total_Item_Requests	1	1	0
A Test of the Revised Minkov-Hofstede Model of Culture: Mirror Images of Subjective and Objective Culture across Nations and the 50 US States	SAGE Publications		SAGE Journals	10.1177/10693971211014468						Total_Item_Investigations	1	1	0
A Theory of Health Promotion for Preterm Infants Based on Levine’s Conservation Model of Nursing	SAGE Publications		SAGE Journals	10.1177/0894318404266327						Unique_Item_Investigations	1	1	0
A Theory of Health Promotion for Preterm Infants Based on Levine’s Conservation Model of Nursing	SAGE Publications		SAGE Journals	10.1177/0894318404266327						Unique_Item_Requests	1	1	0
A Theory of Health Promotion for Preterm Infants Based on Levine’s Conservation Model of Nursing	SAGE Publications		SAGE Journals	10.1177/0894318404266327						Total_Item_Requests	1	1	0
A Theory of Health Promotion for Preterm Infants Based on Levine’s Conservation Model of Nursing	SAGE Publications		SAGE Journals	10.1177/0894318404266327						Total_Item_Investigations	2	2	0
A Tutorial on Causal Inference in Longitudinal Data With Time-Varying Confounding Using G-Estimation	SAGE Publications Inc		SAGE Journals	10.1177/25152459231174029						Unique_Item_Investigations	1	1	0
A Tutorial on Causal Inference in Longitudinal Data With Time-Varying Confounding Using G-Estimation	SAGE Publications Inc		SAGE Journals	10.1177/25152459231174029						Unique_Item_Requests	1	1	0
A Tutorial on Causal Inference in Longitudinal Data With Time-Varying Confounding Using G-Estimation	SAGE Publications Inc		SAGE Journals	10.1177/25152459231174029						Total_Item_Requests	1	1	0
A Tutorial on Causal Inference in Longitudinal Data With Time-Varying Confounding Using G-Estimation	SAGE Publications Inc		SAGE Journals	10.1177/25152459231174029						Total_Item_Investigations	1	1	0
A unified mixed-lubrication model of rolling-sliding line contacts from elastohydrodynamic lubrication to boundary lubrication	SAGE Publications		SAGE Journals	10.1177/1350650115624330						Unique_Item_Investigations	1	1	0
