Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ieee:4172671
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:45:25Z
Created_By	MPS Limited

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
2 Signals and Systems (Continuous and Discrete)	River eBook Chapters		IEEE Xplore	-	0026-04-12				978-8-79-337940-4																									Article	2016	Controlled	Regular	Unique_Item_Investigations	1	1	0
2 Signals and Systems (Continuous and Discrete)	River eBook Chapters		IEEE Xplore	-	0026-04-12				978-8-79-337940-4																									Article	2016	Controlled	Regular	Total_Item_Investigations	1	1	0
A Comparative Study of Agricultural Crop Yield Prediction Using Machine Learning Techniques	IEEE		IEEE Xplore	-	0010-11-13		10.1109/ICACCS57279.2023.10112854		979-8-35-039737-6	2469-5556	2575-7288																							Article	2023	Controlled	Regular	Unique_Item_Requests	3	3	0
A Comparative Study of Agricultural Crop Yield Prediction Using Machine Learning Techniques	IEEE		IEEE Xplore	-	0010-11-13		10.1109/ICACCS57279.2023.10112854		979-8-35-039737-6	2469-5556	2575-7288																							Article	2023	Controlled	Regular	Total_Item_Requests	10	10	0
A Comparative Study of Agricultural Crop Yield Prediction Using Machine Learning Techniques	IEEE		IEEE Xplore	-	0010-11-13		10.1109/ICACCS57279.2023.10112854		979-8-35-039737-6	2469-5556	2575-7288																							Article	2023	Controlled	Regular	Unique_Item_Investigations	5	5	0
A Comparative Study of Agricultural Crop Yield Prediction Using Machine Learning Techniques	IEEE		IEEE Xplore	-	0010-11-13		10.1109/ICACCS57279.2023.10112854		979-8-35-039737-6	2469-5556	2575-7288																							Article	2023	Controlled	Regular	Total_Item_Investigations	11	11	0
A Comprehensive Resilience-Oriented FLISR Method for Distribution Systems	IEEE		IEEE Xplore	-	0031-06-12		10.1109/TSG.2020.3047477			1949-3053	1949-3061																							Article	2020	Controlled	Regular	Unique_Item_Requests	1	1	0
A Comprehensive Resilience-Oriented FLISR Method for Distribution Systems	IEEE		IEEE Xplore	-	0031-06-12		10.1109/TSG.2020.3047477			1949-3053	1949-3061																							Article	2020	Controlled	Regular	Total_Item_Requests	2	2	0
A Comprehensive Resilience-Oriented FLISR Method for Distribution Systems	IEEE		IEEE Xplore	-	0031-06-12		10.1109/TSG.2020.3047477			1949-3053	1949-3061																							Article	2020	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Comprehensive Resilience-Oriented FLISR Method for Distribution Systems	IEEE		IEEE Xplore	-	0031-06-12		10.1109/TSG.2020.3047477			1949-3053	1949-3061																							Article	2020	Controlled	Regular	Total_Item_Investigations	3	3	0
A Comprehensive Review on Deep Learning and Machine Learning Approaches for Tomato Leaf Disease Identification	IEEE		IEEE Xplore	-	0007-02-13		10.1109/ICCES57224.2023.10192722		979-8-35-039663-8																									Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Comprehensive Review on Deep Learning and Machine Learning Approaches for Tomato Leaf Disease Identification	IEEE		IEEE Xplore	-	0007-02-13		10.1109/ICCES57224.2023.10192722		979-8-35-039663-8																									Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
A Comprehensive Survey on Graph Neural Networks	IEEE		IEEE Xplore	-	0029-09-10		10.1109/TNNLS.2020.2978386			2162-237X	2162-2388																							Article	2020	Controlled	Regular	Unique_Item_Requests	2	2	0
A Comprehensive Survey on Graph Neural Networks	IEEE		IEEE Xplore	-	0029-09-10		10.1109/TNNLS.2020.2978386			2162-237X	2162-2388																							Article	2020	Controlled	Regular	Total_Item_Requests	2	2	0
A Comprehensive Survey on Graph Neural Networks	IEEE		IEEE Xplore	-	0029-09-10		10.1109/TNNLS.2020.2978386			2162-237X	2162-2388																							Article	2020	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Comprehensive Survey on Graph Neural Networks	IEEE		IEEE Xplore	-	0029-09-10		10.1109/TNNLS.2020.2978386			2162-237X	2162-2388																							Article	2020	Controlled	Regular	Total_Item_Investigations	2	2	0
A Data Analytics Study in the Influence of Top Universities over World-Class Cities Based on QS Best Cities Ranking	IEEE		IEEE Xplore	-	0015-06-12		10.1109/CDS49703.2020.00030		978-1-72-817106-7																									Article	2020	Controlled	Regular	Unique_Item_Requests	1	1	0
A Data Analytics Study in the Influence of Top Universities over World-Class Cities Based on QS Best Cities Ranking	IEEE		IEEE Xplore	-	0015-06-12		10.1109/CDS49703.2020.00030		978-1-72-817106-7																									Article	2020	Controlled	Regular	Total_Item_Requests	1	1	0
A Data Analytics Study in the Influence of Top Universities over World-Class Cities Based on QS Best Cities Ranking	IEEE		IEEE Xplore	-	0015-06-12		10.1109/CDS49703.2020.00030		978-1-72-817106-7																									Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Data Analytics Study in the Influence of Top Universities over World-Class Cities Based on QS Best Cities Ranking	IEEE		IEEE Xplore	-	0015-06-12		10.1109/CDS49703.2020.00030		978-1-72-817106-7																									Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
A Data-Centric Approach to Parameter Tuning, an Application to Differential Evolution	IEEE		IEEE Xplore	-	0031-03-16		10.1109/CEC53210.2023.10254096		979-8-35-031458-8																									Article	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
A Data-Centric Approach to Parameter Tuning, an Application to Differential Evolution	IEEE		IEEE Xplore	-	0031-03-16		10.1109/CEC53210.2023.10254096		979-8-35-031458-8																									Article	2023	Controlled	Regular	Total_Item_Requests	1	1	0
A Data-Centric Approach to Parameter Tuning, an Application to Differential Evolution	IEEE		IEEE Xplore	-	0031-03-16		10.1109/CEC53210.2023.10254096		979-8-35-031458-8																									Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Data-Centric Approach to Parameter Tuning, an Application to Differential Evolution	IEEE		IEEE Xplore	-	0031-03-16		10.1109/CEC53210.2023.10254096		979-8-35-031458-8																									Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
A fast and reliable technique for muscle activity detection from surface EMG signals	IEEE		IEEE Xplore	-	0025-08-24		10.1109/TBME.2003.808829			0018-9294	1558-2531																							Article	2003	Controlled	Regular	Unique_Item_Requests	1	1	0
A fast and reliable technique for muscle activity detection from surface EMG signals	IEEE		IEEE Xplore	-	0025-08-24		10.1109/TBME.2003.808829			0018-9294	1558-2531																							Article	2003	Controlled	Regular	Total_Item_Requests	1	1	0
A fast and reliable technique for muscle activity detection from surface EMG signals	IEEE		IEEE Xplore	-	0025-08-24		10.1109/TBME.2003.808829			0018-9294	1558-2531																							Article	2003	Controlled	Regular	Unique_Item_Investigations	2	2	0
A fast and reliable technique for muscle activity detection from surface EMG signals	IEEE		IEEE Xplore	-	0025-08-24		10.1109/TBME.2003.808829			0018-9294	1558-2531																							Article	2003	Controlled	Regular	Total_Item_Investigations	2	2	0
A Hypothetical Design Of Small Hydro Power Plant Using Sewage Water In The Perspective Of Dhaka City	IEEE		IEEE Xplore	-	0009-05-13		10.1109/ICCCNT51525.2021.9579747		978-1-72-818595-8																									Article	2021	Controlled	Regular	Unique_Item_Requests	1	1	0
A Hypothetical Design Of Small Hydro Power Plant Using Sewage Water In The Perspective Of Dhaka City	IEEE		IEEE Xplore	-	0009-05-13		10.1109/ICCCNT51525.2021.9579747		978-1-72-818595-8																									Article	2021	Controlled	Regular	Total_Item_Requests	1	1	0
A Hypothetical Design Of Small Hydro Power Plant Using Sewage Water In The Perspective Of Dhaka City	IEEE		IEEE Xplore	-	0009-05-13		10.1109/ICCCNT51525.2021.9579747		978-1-72-818595-8																									Article	2021	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Hypothetical Design Of Small Hydro Power Plant Using Sewage Water In The Perspective Of Dhaka City	IEEE		IEEE Xplore	-	0009-05-13		10.1109/ICCCNT51525.2021.9579747		978-1-72-818595-8																									Article	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
A method for predictive maintenance of mechanical equipment based on Transferable CNN-LSTM	IEEE		IEEE Xplore	-	0020-05-14		10.1109/PHM-Yantai55411.2022.9941744		978-1-66-549631-5																									Article	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
A method for predictive maintenance of mechanical equipment based on Transferable CNN-LSTM	IEEE		IEEE Xplore	-	0020-05-14		10.1109/PHM-Yantai55411.2022.9941744		978-1-66-549631-5																									Article	2022	Controlled	Regular	Total_Item_Requests	2	2	0
A method for predictive maintenance of mechanical equipment based on Transferable CNN-LSTM	IEEE		IEEE Xplore	-	0020-05-14		10.1109/PHM-Yantai55411.2022.9941744		978-1-66-549631-5																									Article	2022	Controlled	Regular	Unique_Item_Investigations	2	2	0
A method for predictive maintenance of mechanical equipment based on Transferable CNN-LSTM	IEEE		IEEE Xplore	-	0020-05-14		10.1109/PHM-Yantai55411.2022.9941744		978-1-66-549631-5																									Article	2022	Controlled	Regular	Total_Item_Investigations	3	3	0
A minimum population search hybrid for large scale global optimization	IEEE		IEEE Xplore	-	0020-03-07		10.1109/CEC.2015.7257125		978-1-47-997492-4	1089-778X	1941-0026																							Article	2015	Controlled	Regular	Unique_Item_Requests	1	1	0
A minimum population search hybrid for large scale global optimization	IEEE		IEEE Xplore	-	0020-03-07		10.1109/CEC.2015.7257125		978-1-47-997492-4	1089-778X	1941-0026																							Article	2015	Controlled	Regular	Total_Item_Requests	1	1	0
A minimum population search hybrid for large scale global optimization	IEEE		IEEE Xplore	-	0020-03-07		10.1109/CEC.2015.7257125		978-1-47-997492-4	1089-778X	1941-0026																							Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
A minimum population search hybrid for large scale global optimization	IEEE		IEEE Xplore	-	0020-03-07		10.1109/CEC.2015.7257125		978-1-47-997492-4	1089-778X	1941-0026																							Article	2015	Controlled	Regular	Total_Item_Investigations	1	1	0
A model of EMG generation	IEEE		IEEE Xplore	-	0012-01-23		10.1109/10.821754			0018-9294	1558-2531																							Article	2000	Controlled	Regular	Unique_Item_Investigations	1	1	0
A model of EMG generation	IEEE		IEEE Xplore	-	0012-01-23		10.1109/10.821754			0018-9294	1558-2531																							Article	2000	Controlled	Regular	Total_Item_Investigations	1	1	0
A Multiscale Computational Model of Skeletal Muscle Electroporation Validated Using In Situ Porcine Experiments	IEEE		IEEE Xplore	-	0008-08-15		10.1109/TBME.2022.3229560			0018-9294	1558-2531																							Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
A Multiscale Computational Model of Skeletal Muscle Electroporation Validated Using In Situ Porcine Experiments	IEEE		IEEE Xplore	-	0008-08-15		10.1109/TBME.2022.3229560			0018-9294	1558-2531																							Article	2023	OA_Gold	Regular	Total_Item_Requests	1	1	0
A Multiscale Computational Model of Skeletal Muscle Electroporation Validated Using In Situ Porcine Experiments	IEEE		IEEE Xplore	-	0008-08-15		10.1109/TBME.2022.3229560			0018-9294	1558-2531																							Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
A Multiscale Computational Model of Skeletal Muscle Electroporation Validated Using In Situ Porcine Experiments	IEEE		IEEE Xplore	-	0008-08-15		10.1109/TBME.2022.3229560			0018-9294	1558-2531																							Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	1	0
A Novel Indicator for Mechanical Failure and Life Prediction Based on Debris Monitoring	IEEE		IEEE Xplore	-	0027-06-08		10.1109/TR.2016.2628412			0018-9529	1558-1721																							Article	2016	Controlled	Regular	Unique_Item_Requests	1	1	0
A Novel Indicator for Mechanical Failure and Life Prediction Based on Debris Monitoring	IEEE		IEEE Xplore	-	0027-06-08		10.1109/TR.2016.2628412			0018-9529	1558-1721																							Article	2016	Controlled	Regular	Total_Item_Requests	1	1	0
A Novel Indicator for Mechanical Failure and Life Prediction Based on Debris Monitoring	IEEE		IEEE Xplore	-	0027-06-08		10.1109/TR.2016.2628412			0018-9529	1558-1721																							Article	2016	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Novel Indicator for Mechanical Failure and Life Prediction Based on Debris Monitoring	IEEE		IEEE Xplore	-	0027-06-08		10.1109/TR.2016.2628412			0018-9529	1558-1721																							Article	2016	Controlled	Regular	Total_Item_Investigations	2	2	0
A Numerical Study on Effects of Buffer Layers Electron Affinity on CU2ZnSnS4 Based Solar Cell Using SCAPS-1D	IEEE		IEEE Xplore	-	0027-06-13		10.1109/ICECIT54077.2021.9641180		978-1-66-542363-2																									Article	2021	Controlled	Regular	Unique_Item_Requests	1	1	0
A Numerical Study on Effects of Buffer Layers Electron Affinity on CU2ZnSnS4 Based Solar Cell Using SCAPS-1D	IEEE		IEEE Xplore	-	0027-06-13		10.1109/ICECIT54077.2021.9641180		978-1-66-542363-2																									Article	2021	Controlled	Regular	Total_Item_Requests	1	1	0
A Numerical Study on Effects of Buffer Layers Electron Affinity on CU2ZnSnS4 Based Solar Cell Using SCAPS-1D	IEEE		IEEE Xplore	-	0027-06-13		10.1109/ICECIT54077.2021.9641180		978-1-66-542363-2																									Article	2021	Controlled	Regular	Unique_Item_Investigations	2	2	0
A Numerical Study on Effects of Buffer Layers Electron Affinity on CU2ZnSnS4 Based Solar Cell Using SCAPS-1D	IEEE		IEEE Xplore	-	0027-06-13		10.1109/ICECIT54077.2021.9641180		978-1-66-542363-2																									Article	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
A Proposal of the Kinematic Model of the Horse Leg Musculoskeletal System by Using Closed Linkages	IEEE		IEEE Xplore	-	0025-07-12		10.1109/ROBIO49542.2019.8961819		978-1-72-816321-5																									Article	2019	Controlled	Regular	Unique_Item_Requests	1	1	0
A Proposal of the Kinematic Model of the Horse Leg Musculoskeletal System by Using Closed Linkages	IEEE		IEEE Xplore	-	0025-07-12		10.1109/ROBIO49542.2019.8961819		978-1-72-816321-5																									Article	2019	Controlled	Regular	Total_Item_Requests	1	1	0
A Proposal of the Kinematic Model of the Horse Leg Musculoskeletal System by Using Closed Linkages	IEEE		IEEE Xplore	-	0025-07-12		10.1109/ROBIO49542.2019.8961819		978-1-72-816321-5																									Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
