Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBC:upei
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Platform=ProQuest Ebook Central; Access_Method=Regular; Data_Type=Book; Access_Type=Controlled
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:52Z
Created_By	ProQuest Ebook Central

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Total_Item_Requests	2	0	2
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				2012	Unique_Title_Requests	1	0	1
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Total_Item_Requests	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				2017	Unique_Title_Requests	3	3	0
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Total_Item_Requests	2	0	2
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				2017	Unique_Title_Requests	1	0	1
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Total_Item_Requests	4	4	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				2015	Unique_Title_Requests	2	2	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Total_Item_Requests	8	8	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				2014	Unique_Title_Requests	3	3	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				2021	Total_Item_Requests	1	1	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				2021	Unique_Title_Requests	1	1	0
Advances in Veterinary Dermatology, Volume 7	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1170127	978-1-118-64487-4				2013	Total_Item_Requests	1	1	0
Advances in Veterinary Dermatology, Volume 7	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1170127	978-1-118-64487-4				2013	Unique_Title_Requests	1	1	0
Agriculture and Rural Society after the Black Death	University Of Hertfordshire Press		ProQuest Ebook Central		EBC:716171	978-1-902806-79-2				2009	Total_Item_Requests	1	0	1
Agriculture and Rural Society after the Black Death	University Of Hertfordshire Press		ProQuest Ebook Central		EBC:716171	978-1-902806-79-2				2009	Unique_Title_Requests	1	0	1
American Anthropology, 1971-1995	University of Nebraska Press		ProQuest Ebook Central		EBC:565757	978-0-8032-6635-3				2002	Total_Item_Requests	5	5	0
American Anthropology, 1971-1995	University of Nebraska Press		ProQuest Ebook Central		EBC:565757	978-0-8032-6635-3				2002	Unique_Title_Requests	2	2	0
An Introduction to MATLAB® Programming and Numerical Methods for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:5754503	978-0-12-420228-3				2014	Total_Item_Requests	15	15	0
An Introduction to MATLAB® Programming and Numerical Methods for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:5754503	978-0-12-420228-3				2014	Unique_Title_Requests	5	5	0
An Organ of Murder	Rutgers University Press		ProQuest Ebook Central		EBC:6389617	978-1-9788-1307-6				2021	Total_Item_Requests	1	1	0
An Organ of Murder	Rutgers University Press		ProQuest Ebook Central		EBC:6389617	978-1-9788-1307-6				2021	Unique_Title_Requests	1	1	0
An Unusual Inquisition	BRILL		ProQuest Ebook Central		EBC:6827598	978-90-04-42378-7				2020	Total_Item_Requests	6	6	0
An Unusual Inquisition	BRILL		ProQuest Ebook Central		EBC:6827598	978-90-04-42378-7				2020	Unique_Title_Requests	1	1	0
An Unusual Inquisition	BRILL		ProQuest Ebook Central		EBC:6827598	978-90-04-42378-7				2020	Total_Item_Requests	17	0	17
An Unusual Inquisition	BRILL		ProQuest Ebook Central		EBC:6827598	978-90-04-42378-7				2020	Unique_Title_Requests	4	0	4
Ashes of My Dreams	Nimbus Publishing, Limited		ProQuest Ebook Central		EBC:5344805	978-1-927502-69-3				2016	Total_Item_Requests	1795	1795	0
Ashes of My Dreams	Nimbus Publishing, Limited		ProQuest Ebook Central		EBC:5344805	978-1-927502-69-3				2016	Unique_Title_Requests	185	185	0
Ashes of My Dreams	Nimbus Publishing, Limited		ProQuest Ebook Central		EBC:5344805	978-1-927502-69-3				2016	Total_Item_Requests	1469	0	1469
Ashes of My Dreams	Nimbus Publishing, Limited		ProQuest Ebook Central		EBC:5344805	978-1-927502-69-3				2016	Unique_Title_Requests	113	0	113
Atlas of Small Animal Ultrasonography	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:4180219	978-1-118-35998-3				1991	Total_Item_Requests	1	1	0
Atlas of Small Animal Ultrasonography	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:4180219	978-1-118-35998-3				1991	Unique_Title_Requests	1	1	0
Avian Virology	Caister Academic Press		ProQuest Ebook Central		EBC:5897871	978-1-912530-10-6				2019	Total_Item_Requests	1	1	0
Avian Virology	Caister Academic Press		ProQuest Ebook Central		EBC:5897871	978-1-912530-10-6				2019	Unique_Title_Requests	1	1	0
Bacterial Diseases	Bentham Science Publishers		ProQuest Ebook Central		EBC:6371159	978-981-14-7374-6				2020	Total_Item_Requests	2	0	2
Bacterial Diseases	Bentham Science Publishers		ProQuest Ebook Central		EBC:6371159	978-981-14-7374-6				2020	Unique_Title_Requests	1	0	1
Becoming the Gospel	William B. Eerdmans Publishing Company		ProQuest Ebook Central		EBC:4859272	978-0-8028-6884-8				2015	Total_Item_Requests	2	0	2
Becoming the Gospel	William B. Eerdmans Publishing Company		ProQuest Ebook Central		EBC:4859272	978-0-8028-6884-8				2015	Unique_Title_Requests	1	0	1
Behavioral Business Ethics	Taylor & Francis Group		ProQuest Ebook Central		EBC:956988	978-0-415-87324-6				2011	Total_Item_Requests	6	6	0
Behavioral Business Ethics	Taylor & Francis Group		ProQuest Ebook Central		EBC:956988	978-0-415-87324-6				2011	Unique_Title_Requests	1	1	0
Bergey's Manual® of Systematic Bacteriology	Springer		ProQuest Ebook Central		EBC:302700	978-0-387-24145-6				2005	Total_Item_Requests	1	0	1
Bergey's Manual® of Systematic Bacteriology	Springer		ProQuest Ebook Central		EBC:302700	978-0-387-24145-6				2005	Unique_Title_Requests	1	0	1
Biodiversity of the Gulf of Guinea Oceanic Islands	Springer International Publishing AG		ProQuest Ebook Central		EBC:7118638	978-3-031-06152-3				2022	Total_Item_Requests	1	0	1
