Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	Data_Type=Book|Database
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3060: Invalid ReportFilter Value (Filter parameter: DATA_TYPE has invalid value(s): [Article, Book_Segment]. ); 3030: No Usage Available for Requested Dates (Requested data between 2024-01-01 and 2024-01-31)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-26T05:22:45Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024
