Report_Name	Multimedia Item Requests
Report_ID	IR_M1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Total_Item_Requests
Report_Filters	Platform=ProQuest; Data_Type=Multimedia; Access_Method=Regular
Report_Attributes	
Exceptions	3030: No Usage Available for Requested Dates. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:59:40Z
Created_By	ProQuest

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
