Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	Prince Edward Island , Univ. of
Institution_ID	MUSE:institution16692
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Invalid date range -- too recent)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:52:33Z
Created_By	Project MUSE

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
