Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:491
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (); 3030: No Usage Available for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
