Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:40:14Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	10.4141/cjss70-040						Unique_Item_Investigations	1	1	0
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	10.4141/cjss70-040						Unique_Item_Requests	1	1	0
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	10.4141/cjss70-040						Total_Item_Investigations	1	1	0
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	10.4141/cjss70-040						Total_Item_Requests	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	10.1139/v75-431						Unique_Item_Investigations	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	10.1139/v75-431						Unique_Item_Requests	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	10.1139/v75-431						Total_Item_Investigations	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	10.1139/v75-431						Total_Item_Requests	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	10.1139/facets-2019-0048						Unique_Item_Investigations	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	10.1139/facets-2019-0048						Unique_Item_Requests	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	10.1139/facets-2019-0048						Total_Item_Investigations	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	10.1139/facets-2019-0048						Total_Item_Requests	1	1	0
A novel approach for directly incorporating disease into fish stock assessment: a case study with seroprevalence data	NRC Research Press		Canadian Science Publishing	10.1139/cjfas-2021-0094						Unique_Item_Investigations	2	2	0
A novel approach for directly incorporating disease into fish stock assessment: a case study with seroprevalence data	NRC Research Press		Canadian Science Publishing	10.1139/cjfas-2021-0094						Unique_Item_Requests	2	2	0
A novel approach for directly incorporating disease into fish stock assessment: a case study with seroprevalence data	NRC Research Press		Canadian Science Publishing	10.1139/cjfas-2021-0094						Total_Item_Investigations	2	2	0
A novel approach for directly incorporating disease into fish stock assessment: a case study with seroprevalence data	NRC Research Press		Canadian Science Publishing	10.1139/cjfas-2021-0094						Total_Item_Requests	2	2	0
A validation of eddy covariance technique for measuring crop evapotranspiration on different time scales in the North China Plain	NRC Research Press		Canadian Science Publishing	10.1139/cjss-2020-0050						Unique_Item_Investigations	1	1	0
A validation of eddy covariance technique for measuring crop evapotranspiration on different time scales in the North China Plain	NRC Research Press		Canadian Science Publishing	10.1139/cjss-2020-0050						Unique_Item_Requests	1	1	0
A validation of eddy covariance technique for measuring crop evapotranspiration on different time scales in the North China Plain	NRC Research Press		Canadian Science Publishing	10.1139/cjss-2020-0050						Total_Item_Investigations	1	1	0
A validation of eddy covariance technique for measuring crop evapotranspiration on different time scales in the North China Plain	NRC Research Press		Canadian Science Publishing	10.1139/cjss-2020-0050						Total_Item_Requests	1	1	0
Adipocytes and lipid distribution in the muscle tissue of Atlantic salmon (Salmo salar)	NRC Research Press		Canadian Science Publishing	10.1139/f95-197						Unique_Item_Investigations	1	1	0
Adipocytes and lipid distribution in the muscle tissue of Atlantic salmon (Salmo salar)	NRC Research Press		Canadian Science Publishing	10.1139/f95-197						Unique_Item_Requests	1	1	0
Adipocytes and lipid distribution in the muscle tissue of Atlantic salmon (Salmo salar)	NRC Research Press		Canadian Science Publishing	10.1139/f95-197						Total_Item_Investigations	1	1	0
Adipocytes and lipid distribution in the muscle tissue of Atlantic salmon (Salmo salar)	NRC Research Press		Canadian Science Publishing	10.1139/f95-197						Total_Item_Requests	1	1	0
Alkoxide-functionalized cyclopentadienyl complexes of yttrium containing a two-carbon tether	NRC Research Press		Canadian Science Publishing	10.1139/v02-174						Unique_Item_Investigations	1	1	0
